,x,y,word,label
HTML,-12.872045,-30.60564,HTML,4
PHP,-23.16768,-30.853085,PHP,4
Web,-54.287113,-22.400093,Web,4
ul,51.331135,-19.64229,ul,3
elper,-15.29287,-43.18914,elper,4
vlue,58.23252,-28.789824,vlue,3
C++,-2.392811,-34.450905,C++,2
cle,31.373877,-34.422638,cle,3
egne,-14.703594,-36.48996,egne,4
SQL,-59.29856,-11.467232,SQL,3
lke,27.546898,-25.241959,lke,3
ler,32.651524,-36.820152,ler,3
ngen,-11.94485,-45.20087,ngen,1
enble,-13.12617,-42.034626,enble,4
Serr,-58.93642,-11.665032,Serr,1
ec,50.753963,-28.210188,ec,3
lee,-33.79806,-39.524933,lee,0
lp,-14.297826,-42.329678,lp,4
brwer,-18.446196,-36.104053,brwer,4
newk,3.4102263,-44.044857,newk,3
new,-2.4694672,-38.469585,new,3
efe,54.594376,-25.438478,efe,3
THS,-28.067926,-53.580696,THS,0
cec,32.09989,-33.6762,cec,3
envrn,-16.958797,-39.337433,envrn,4
',19.721453,-28.270723,',0
ee,37.944805,-33.694,ee,3
Se,-55.356964,-17.093195,Se,1
Apc,-28.249346,-22.121384,Apc,4
funcl,29.634861,-33.174385,funcl,4
cer,52.337215,-27.793182,cer,3
pruc,-11.118935,-46.271427,pruc,1
perg,-50.68237,-32.828472,perg,0
cu,27.535156,-27.40172,cu,4
erc,21.080893,-42.68018,erc,4
vlble,-45.54368,-31.217205,vlble,1
ulple,45.837337,-35.7397,ulple,3
NOT,-27.119991,-53.551453,NOT,0
pen-ce,-21.811832,-31.900953,pen-ce,4
lk,-10.2997055,-28.376554,lk,4
elpe,-58.93298,-17.707043,elpe,1
rr,58.04371,-25.880487,rr,3
ffen,46.58606,-35.303604,ffen,3
nur,57.79903,-28.741238,nur,3
Ru,-15.279963,-32.24173,Ru,4
P,-50.215973,-31.31209,P,1
nge,-11.66334,-42.948597,nge,1
un,46.581203,-33.462902,un,3
prcl,3.0322702,-44.29073,prcl,1
pge,44.12293,-39.764732,pge,3
rucu,54.350418,-23.873075,rucu,3
S,-29.573988,-49.858524,S,0
Frwk,-38.33919,-21.155115,Frwk,4
Vul,-63.416473,-12.513687,Vul,0
Servce,-57.784485,-21.083733,Servce,1
bulg,-18.310831,-33.81638,bulg,4
R,-6.443346,-27.550617,R,2
nc,-14.709992,-35.498,nc,4
pc,52.894215,-28.868439,pc,3
enge,-17.669085,-28.742569,enge,4
gr,52.061768,-32.79259,gr,3
kwn,-31.121126,-33.16258,kwn,1
wk,39.760788,-32.75801,wk,4
grg,14.751453,-31.91838,grg,0
jQuer,-12.2674,-29.838326,jQuer,4
gl,12.068739,-46.292946,gl,3
lu,-11.264674,-45.210293,lu,1
nl,52.60024,-14.982877,nl,3
gle,45.645004,-35.980316,gle,3
U,-12.426963,-26.284454,U,4
Su,-63.419132,-12.512928,Su,0
gener,7.214014,-24.96656,gener,2
HTTP,3.2710876,-40.03666,HTTP,4
Ce,-39.02113,-21.01837,Ce,1
ene,56.231094,-15.512019,ene,3
erl,25.22214,-23.482365,erl,3
lgh,56.34676,-26.837547,lgh,3
USE,-27.311447,-53.443092,USE,0
CSS,-12.742417,-30.516434,CSS,4
x,-32.88871,-38.52005,x,0
DO,-27.269917,-53.445312,DO,0
clug,24.066128,-23.22896,clug,1
XML,25.284956,-38.48508,XML,2
"ce,",31.775818,-42.955807,"ce,",3
TAG!,-28.079115,-53.541664,TAG!,0
chnge,50.19086,-32.575943,chnge,3
eple,23.525454,-38.44725,eple,4
generl,18.215443,-32.860825,generl,0
vru,30.458538,-28.756357,vru,3
fr,48.67131,-38.928368,fr,3
Mc,-48.817425,-32.549435,Mc,1
egn,56.46525,-19.209082,egn,3
j,7.703849,-28.105858,j,0
pg,26.926886,-23.596352,pg,3
prceg,33.270126,-21.640263,prceg,2
hn,55.464973,-29.651701,hn,3
pble,38.98421,-30.579775,pble,3
lbr,-8.704104,-25.71909,lbr,4
ech,56.114586,-29.972399,ech,3
vl,52.608257,-21.958538,vl,3
egr,-13.183194,-43.76282,egr,4
prvg,-12.561832,-34.521507,prvg,4
ph,28.882507,-36.977905,ph,3
runng,6.6010156,-49.255882,runng,1
Yu,40.409946,-32.230244,Yu,3
cpble,-13.97114,-36.419685,cpble,4
),-28.863684,-35.925507,),2
prble,53.363335,-28.80075,prble,0
uc,44.52144,-32.293762,uc,3
pern,56.44336,-19.332804,pern,3
crp,8.03967,-32.566536,crp,4
exp,58.29634,-23.995886,exp,3
SDK,-51.106216,-25.352465,SDK,4
G,-32.34718,-20.598913,G,4
nce,49.370293,-32.069458,nce,3
clu,-10.101259,-45.8288,clu,1
Azu,-57.887688,-21.079502,Azu,1
gene,23.407122,-38.440823,gene,3
lr,55.940586,-14.446549,lr,3
hg,40.52223,-29.596933,hg,3
"g,",19.48696,-29.631327,"g,",0
gn,56.121597,-29.605244,gn,3
fu,-13.78878,-39.524776,fu,4
Te,-55.88605,-11.779699,Te,1
fl,49.811325,-16.513075,fl,3
Lux,-50.488464,-32.61939,Lux,1
cnec,3.3212187,-41.734768,cnec,1
pn,46.11775,-31.730555,pn,3
bl,48.764076,-33.32483,bl,3
nee,40.124687,-32.407303,nee,3
ASPNET,-26.333593,-28.368238,ASPNET,4
erch,32.756096,-24.582401,erch,3
plce,51.051243,-32.15365,plce,3
Clu,-56.954174,-22.3815,Clu,1
bg,-7.676876,-24.835062,bg,4
X,-48.850483,-32.4214,X,1
perf,49.72942,-34.180058,perf,3
cpler,-2.523802,-33.427803,cpler,0
"c,",50.096424,-28.620956,"c,",3
fc,14.551716,-41.844006,fc,3
ne,38.067318,-26.577421,ne,3
